name,url,category
DADiSP,https://www.dadisp.com,Tool
Dev-Pascal,http://dev-cpp.com/Dev-Pascal/,Tool
DirectAdmin,https://www.directadmin.com/,Tool
django CMS,http://django-cms.org,Tool
DNN,http://dnncommunity.org/,Tool
doi,https://www.doi.org/the-identifier/what-is-a-doi/,Tool
DokuWiki,https://www.dokuwiki.org,Tool
Dotclear,http://dotclear.org,Tool
dotCMS,https://www.dotcms.com,Tool
dotProject,https://dotproject.net/,Tool
DR DOS 3.31,http://drdos.com,Tool
DR DOS 6.0,http://drdos.com,Tool
DR-DOS 7.02,http://drdos.com,Tool
DragonFly BSD,https://www.dragonflybsd.org,Tool
DreamHost,https://dreamhost.com,Tool
Drupal,https://www.drupal.org/,Tool
DSpace,http://www.dspace.org,Tool
Dynadot,http://dynadot.com,Tool
DynaRoad,http://www.dynaroad.com/,Tool
Easy projects,http://www.easyprojects.net,Tool
Easy Redmine,https://www.easyredmine.com/,Tool
Eclipse,https://eclipseide.org,Tool
Eclipse Che,https://www.eclipse.org/che,Tool
Eclipse Foundation,https://www.eclipse.org/,Tool
Eclipse PDT,https://eclipse.dev/pdt/,Tool
EDT,http://edt-text-editor.sourceforge.net,Tool
eGroupWare,https://www.egroupware.org/,Tool
Elvis,http://elvis.the-little-red-haired-girl.org,Tool
Embarcadero Technologies,https://www.embarcadero.com/,Tool
Endeavour Software Project Management,https://endeavour-mgmt.sourceforge.net/,Tool
Enom,https://www.enom.com/,Tool
Enonic XP,https://enonic.com,Tool
Epik,https://www.epik.com,Tool
Episerver CMS,https://www.episerver.com,Tool
EPrints,http://www.eprints.org/,Tool
eric,https://eric-ide.python-projects.org,Tool
ESLint,https://eslint.org/,Tool
EURid,https://eurid.eu,Tool
Exponent CMS,http://www.exponentcms.org,Tool
FastCGI,https://fastcgi-archives.github.io/,Tool
Fedora Commons,https://fedorarepository.org,Tool
FIGlet,http://www.figlet.org,Tool
Figma,https://www.figma.com/,Tool
FinancialForce.com,https://certinia.com,Tool
Firebase Studio,https://studio.firebase.google.com,Tool
FogBugz,http://www.fogbugz.com,Tool
Fossil-scm,https://www.fossil-scm.org,Tool
Foswiki,https://foswiki.org,Tool
Framework,http://www.framework.com,Tool
Free Pascal,https://freepascal.org,Tool
FreeBSD,https://www.freebsd.org,Tool
Freedcamp,https://freedcamp.com,Tool
FreeMarker,https://freemarker.apache.org,Tool
Froxlor,https://www.froxlor.org/,Tool
Fujitsu,https://www.fujitsu.com/,Tool
Gambas,https://gambaswiki.org/website,Tool
Gandi,https://www.gandi.net/,Tool
GCC,https://gcc.gnu.org,Tool
Geany,https://www.geany.org/,Tool
Geeklog,http://www.geeklog.net,Tool
GeoGebra,https://www.geogebra.org/,Tool
GetSimple CMS,https://getsimple-ce.ovh/,Tool
Ghost,https://ghost.org,Tool
Gigaom,http://gigaom.com/,Tool
Git,https://git-scm.com/,Tool
Git (software),https://git-scm.com,Tool
GitHub,https://github.com/,Tool
GitHub - apache/sling-org-apache-sling-app-cms: Apache Sling: CMS Reference App,https://github.com/apache/sling-org-apache-sling-app-cms,Tool
GLBasic,http://www.glbasic.com,Tool
GlowHost,https://glowhost.com/,Tool
GMO Internet,https://www.gmo.jp/en/,Tool
GNOME,https://www.gnome.org/,Tool
GNOME Builder,https://apps.gnome.org/Builder/,Tool
GNU,https://gnu.org,Tool
GNU Affero GPL,https://www.gnu.org/licenses/agpl.html,Tool
GNU Emacs,https://www.gnu.org/software/emacs,Tool
GNU GPL,https://www.gnu.org/licenses/gpl.html,Tool
GNU GPLv2,https://www.gnu.org/licenses/gpl.html,Tool
GNU GPLv3,https://www.gnu.org/licenses/gpl.html,Tool
GNU LGPL,https://www.gnu.org/licenses/lgpl.html,Tool
GNU linking exception,https://www.gnu.org/licenses/gpl-faq.html#LinkingWithGPL,Tool
GNU nano,https://nano-editor.org,Tool
GNU Oleo,https://www.gnu.org/software/oleo/oleo.html,Tool
Gnumeric,http://gnumeric.org,Tool
GNUstep,https://www.gnustep.org/,Tool
Goalscape,https://goalscape.com,Tool
Google,https://about.google/,Tool
Google Apps,https://workspace.google.com,Tool
Google Cloud,https://cloud.google.com/,Tool
Google Domains,https://domains.google/,Tool
Google Inc.,https://about.google/,Tool
Google Sheets,https://google.com/sheets,Tool
Google Workspace,https://workspace.google.com,Tool
Grafana,https://grafana.com/,Tool
Grav,https://getgrav.org/,Tool
Greenfoot,http://www.greenfoot.org/,Tool
Group-Office,https://www.group-office.com,Tool
GTK#,https://gtk.org,Tool
Guido van Rossum,https://gvanrossum.github.io/,Tool
Haiku,https://www.haiku-os.org,Tool
Hall.com,https://atlassian.com/,Tool
Headless content management system (Headless CMS),http://www.cms-connected.com/News-Archive/December-2016/The-Ultimate-Guide-for-Headless-Content-Management,Tool
Heroku,https://www.heroku.com/,Tool
Hostinger,https://hostinger.com,Tool
HSQL,https://hsqldb.org/,Tool
HSQLDB,https://hsqldb.org/,Tool
Huddle,http://www.huddle.com,Tool
Hypersonic SQL,https://hsqldb.org/,Tool
i-MSCP,http://i-mscp.net,Tool
